match_id,game_date,game_mode,game_type,queue_id,map_id,game_version,game_duration_seconds,game_duration_minutes,champion,position,team_id,win,kills,deaths,assists,kda,double_kills,triple_kills,quadra_kills,penta_kills,first_blood,champion_level,total_damage_dealt,total_damage_to_champions,physical_damage_to_champions,magic_damage_to_champions,true_damage_to_champions,total_damage_taken,gold_earned,gold_spent,minions_killed,neutral_minions_killed,total_cs,cs_per_minute,vision_score,wards_placed,wards_killed,vision_wards_bought,damage_per_minute,damage_per_gold,kill_participation,objective_damage,summoner1Id,summoner2Id,item0,item1,item2,item3,item4,item5,item6,primary_rune_tree,primary_rune_0,primary_rune_1,primary_rune_2,primary_rune_3,secondary_rune_tree,secondary_rune_0,secondary_rune_1
TR1_1611887570,2025-04-30 20:18:23,CLASSIC,MATCHED_GAME,440,11,15.9.677.4704,1821,30.35,Volibear,JUNGLE,100,False,1,6,9,1.67,0,0,0,0,False,13,105303,8818,4193,4394,230,27832,8725,9200,26,68,94,3.1,24,9,3,0,290.54,1.0107,0.3448275862068966,26114,4,11,1101,4629,3158,3065,1011,1033,3340,primaryStyle,8005,9111,9105,8299,subStyle,8234,8232
TR1_1611014730,2025-04-26 20:06:44,CLASSIC,MATCHED_GAME,440,11,15.8.675.10,977,16.28,Teemo,TOP,200,False,1,2,2,1.5,0,0,0,0,False,10,30367,8075,1576,6419,79,6117,4771,4500,81,0,81,4.97,1,3,0,0,495.91,1.6925,0.16666666666666666,266,4,14,1056,6653,3158,0,0,0,3340,primaryStyle,8005,9111,9104,8014,subStyle,8236,8226
TR1_1611005697,2025-04-26 19:30:55,CLASSIC,MATCHED_GAME,440,11,15.8.675.10,1694,28.23,Vi,JUNGLE,100,False,3,8,8,1.38,0,0,0,0,False,13,130253,11387,10355,0,1031,28724,8641,8283,26,72,98,3.47,12,8,0,0,403.32,1.3178,0.2894736842105263,34592,4,11,1101,3078,3071,3047,0,0,3340,primaryStyle,8010,9111,9104,8014,subStyle,8143,8106
TR1_1610905275,2025-04-26 11:20:44,CLASSIC,MATCHED_GAME,400,11,15.8.675.10,1807,30.12,Caitlyn,BOTTOM,200,True,12,8,4,2.0,0,0,0,0,False,14,154930,27139,26337,732,69,20449,13072,11650,158,4,162,5.38,4,3,0,0,901.13,2.0761,0.3404255319148936,28746,4,21,3031,6676,6672,3006,1036,0,3340,primaryStyle,8021,8009,9103,8014,subStyle,8233,8236
TR1_1610853634,2025-04-26 01:08:59,CLASSIC,MATCHED_GAME,400,11,15.8.675.10,1674,27.9,Caitlyn,BOTTOM,200,True,11,3,8,6.33,1,0,0,0,False,15,143682,20315,19396,438,480,17515,12811,11400,182,4,186,6.67,7,3,1,0,728.14,1.5857,0.4523809523809524,26151,4,21,6676,3006,3031,3033,0,0,3340,primaryStyle,8021,8009,9103,8014,subStyle,8233,8236
TR1_1610844335,2025-04-26 00:34:02,CLASSIC,MATCHED_GAME,400,11,15.8.675.10,1711,28.52,Kaisa,BOTTOM,200,False,8,8,7,1.88,0,0,0,0,False,13,92627,20802,13681,7121,0,23090,10398,10475,130,0,130,4.56,4,4,0,0,729.47,2.0006,0.38461538461538464,5093,4,21,3006,3124,3033,6690,3051,1043,3340,primaryStyle,8005,8009,9103,8014,subStyle,8345,8304
TR1_1610843425,2025-04-26 00:26:48,CLASSIC,MATCHED_GAME,400,11,15.8.675.10,127,2.12,Kaisa,BOTTOM,100,False,0,0,0,0.0,0,0,0,0,False,1,1281,0,0,0,0,105,647,500,5,0,5,2.36,0,0,0,0,0.0,0.0,0.0,0,4,21,1055,2003,2010,0,0,0,3340,primaryStyle,8005,8009,9103,8014,subStyle,8345,8304
TR1_1610368126,2025-04-23 22:29:55,CLASSIC,MATCHED_GAME,440,11,15.8.675.10,1812,30.2,MissFortune,BOTTOM,200,False,19,9,3,2.44,6,1,0,0,False,15,109016,29139,27095,1049,994,24433,14612,14400,148,4,152,5.03,8,4,1,0,964.87,1.9942,0.7586206896551724,2831,4,21,3031,6676,3006,3033,3026,0,3340,primaryStyle,8005,8009,9103,8014,subStyle,8345,8304
TR1_1610351287,2025-04-23 21:37:48,CLASSIC,MATCHED_GAME,440,11,15.8.675.10,2600,43.33,MissFortune,BOTTOM,200,False,14,10,11,2.5,1,0,0,0,False,17,175600,30226,27255,1506,1464,33040,17413,16750,209,0,209,4.82,23,12,2,0,697.52,1.7358,0.4166666666666667,11547,4,21,3172,3033,6676,3031,3026,3133,3340,primaryStyle,8369,8321,8345,8347,subStyle,8236,8226
TR1_1608500994,2025-04-15 19:16:58,CLASSIC,MATCHED_GAME,440,11,15.7.672.4034,1330,22.17,Kayn,JUNGLE,100,False,2,7,2,0.57,0,0,0,0,False,11,88259,5081,4967,0,114,25135,5689,5450,14,68,82,3.7,12,8,0,0,229.22,0.8931,0.18181818181818182,11161,4,11,6699,3067,1028,1101,3158,0,3340,primaryStyle,8010,9111,9105,8299,subStyle,8347,8304
